,0,1,2
0,87,76,82
1,88,77,83
2,90,80,80
3,93,83,83
4,89,82,76
5,86,79,73
6,89,80,75
7,91,82,77
8,91,82,77
9,91,82,77
10,92,85,79
11,93,86,80
12,93,89,80
13,92,88,79
14,94,87,79
15,94,87,79
16,92,87,83
17,95,90,86
18,94,94,88
19,91,91,85
20,92,89,84
21,92,89,84
22,94,87,79
23,94,87,79
24,91,87,78
25,90,86,77
26,87,88,79
27,87,88,79
28,90,85,83
29,90,85,83
30,89,86,83
31,89,86,83
32,92,87,83
33,93,88,84
34,97,90,82
35,97,90,82
36,90,92,83
37,89,91,82
38,82,90,79
39,83,91,80
40,88,90,81
41,88,90,81
42,96,87,80
43,97,88,81
44,99,89,75
45,98,88,74
46,93,90,76
47,94,91,77
48,92,88,79
49,92,88,79
50,96,87,78
51,96,87,78
52,100,87,76
53,99,86,75
54,99,85,77
55,97,83,75
56,91,82,73
57,94,85,76
58,95,86,77
59,94,85,76
60,95,85,73
61,97,87,75
62,96,85,76
63,95,84,75
64,93,84,75
65,94,85,76
66,91,87,78
67,88,84,75
68,87,80,70
69,89,82,72
70,99,85,77
71,99,85,77
72,100,86,80
73,101,87,81
74,96,89,83
75,99,92,86
76,99,95,88
77,97,93,86
78,94,95,86
79,96,97,88
80,94,98,91
81,93,97,90
82,92,92,88
83,91,91,87
84,97,92,88
85,99,94,90
86,97,94,89
87,93,90,85
88,94,91,86
89,97,94,89
90,98,93,91
91,95,90,88
92,94,89,87
93,98,93,91
94,96,97,91
95,97,98,92
96,93,103,89
97,92,102,88
98,90,100,86
99,91,101,87
100,95,96,85
101,91,92,81
102,88,90,81
103,93,95,86
104,93,102,93
105,93,102,93
106,93,102,93
107,95,104,95
108,96,100,93
109,95,99,92
110,100,101,95
111,102,103,97
112,100,104,97
113,101,105,98
114,101,108,102
115,101,108,102
116,100,106,104
117,101,107,105
118,103,109,107
119,101,107,105
120,101,108,102
121,101,108,102
122,101,105,98
123,105,109,102
124,107,115,104
125,105,113,102
126,100,112,102
127,102,114,104
128,100,114,103
129,99,113,102
130,99,113,104
131,99,113,104
132,97,111,102
133,97,111,102
134,103,110,102
135,106,113,105
136,114,112,102
137,112,110,100
138,106,111,99
139,107,112,100
140,110,112,99
141,111,113,100
142,112,113,102
143,113,114,103
144,110,115,105
145,109,114,104
146,109,113,106
147,110,114,107
148,110,117,109
149,107,114,106
150,107,116,107
151,109,118,109
152,115,116,112
153,115,116,112
154,112,113,109
155,110,111,107
156,109,113,106
157,110,114,107
158,111,112,106
159,109,110,104
160,103,105,96
161,97,99,90
162,93,95,86
163,88,90,81
164,86,84,74
165,85,83,73
166,94,95,84
167,106,107,96
168,115,116,105
169,117,118,107
170,120,118,108
171,119,117,107
172,117,118,109
173,119,120,111
174,119,120,111
175,118,119,110
176,120,118,110
177,119,117,109
178,115,116,110
179,116,117,111
180,115,119,112
181,114,118,111
182,116,117,111
183,117,118,112
184,117,118,109
185,117,118,109
186,119,120,111
187,120,121,112
188,119,120,111
189,119,120,111
190,119,120,111
191,118,119,110
192,119,117,109
193,120,118,110
194,121,119,111
195,120,118,110
196,117,119,110
197,117,119,110
198,109,119,107
199,107,117,105
200,109,122,109
201,110,123,110
202,109,121,111
203,108,120,110
204,113,117,112
205,112,116,111
206,119,116,111
207,121,118,113
208,122,118,109
209,122,118,109
210,121,117,108
211,121,117,108
212,117,119,110
213,117,119,110
214,115,119,112
215,114,118,111
216,113,117,110
217,112,116,109
218,115,115,111
219,116,116,112
220,115,116,110
221,115,116,110
222,112,119,111
223,112,119,111
224,116,117,113
225,116,117,113
226,116,116,112
227,115,115,111
228,105,106,102
229,95,96,92
230,92,96,89
231,98,102,95
232,96,98,89
233,91,93,84
234,97,98,87
235,106,107,96
236,110,111,100
237,109,110,99
238,111,112,103
239,111,112,103
240,106,114,103
241,108,116,105
242,110,119,110
243,107,116,107
244,114,115,109
245,114,115,109
246,115,115,109
247,113,113,107
248,113,114,105
249,115,116,107
250,113,117,110
251,113,117,110
252,115,116,110
253,115,116,110
254,117,117,111
255,118,118,112
256,117,118,114
257,115,116,112
258,110,117,111
259,110,117,111
260,110,117,111
261,110,117,111
262,114,115,109
263,114,115,109
264,114,115,109
265,114,115,109
266,114,115,109
267,112,113,107
268,117,118,109
269,118,119,110
270,115,117,108
271,115,117,108
272,111,118,110
273,111,118,110
274,111,118,110
275,111,118,110
